GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Secure App,com.company.secureapp,App,7,0,0,0,3,0,2,0,2,0
Secure App,com.company.secureapp,Calculator,0,11,0,0,0,3,0,3,0,3
